titre;diagnostic;traitement;prevention;appel
DIARRHEE NEONATALES DES VEAUX;Fécès liquides, veau sans appétit, abattu, « baveur »;"Antibiotiques par voie orale : amoxicilline + acide clavulanique, sulfamides
Antibiotiques injectables : colistine + ampicilline, gentamycine
Huiles essentielles par voie orale
Réhydratation par voie orale : sachets réhydratants avec ou sans suppression du lait";"Equilibre de la ration des vaches taries et en début de gestation,
Bonne hygiène du vêlage,
Apport de colostrum suffisant à la naissance
Alimentation lactée correcte: température, quantité, concentration en poudre,
Logement des veaux adaptés: cases à veaux, box individuels les premiers jours, etc.
Si besoin: vaccination des vaches (rotavec, trivacton, etc.) ou des veaux à la naissance.";"Etat critique du veau : déshydratation importante, veau qui ne se lève plus, état de choc,
Echec du traitement.
Fréquence anormales de diarrhées
Présence de signes cliniques inconnus"
MYOPATHIE DES VEAUX (raide);"Elle  évolue  à  partir  de  la  naissance (si  acquise  in utero)  jusqu’à  l’âge  de  six  mois.
Le  raide  néonatal  donne  des  veaux  qui  naissent  chétifs  et  qui  présentent  des  difficultés  locomotrices  et  des  difficultés  respiratoires, voire des morts subites par atteinte du coeur.
A  partir  de  l’âge  d’une  semaine, des  tremblements, de  la  raideur  dans  la  démarche, un  décubitus  fréquent  et  des  troubles  respiratoires  sont  remarqués, l’appétit est conservé.
Le raide peut apparaître après un effort inhabituel (sortie de la stabulation)";"Injection de  sélénium  et /ou  de  vitamine  E.
Maintenir  les  animaux  au  calme  en  évitant  les  exercices  musculaires  violents.";"Apport  de  vitamine  E  et  de  sélénium  aux  vaches  pendant  la  gestation  sous  forme  de  pierres  à  lécher ou de complément liquide.
Apport  de  vitamine  E  et /ou  de  sélénium  aux  veaux dès  la  naissance  par  voie orale (petits bolus) ou injectable  si  les  mères  sont  carencées.
";"nefficacité  du  traitement  et  de  la  prévention  mis  en  place.
Augmentation  de  l’incidence  de  la  maladie  dans  l’élevage.
Apparition  de  nouveaux  signes  cliniques."
INFECTIONS RESPIRATOIRES;"Mort brutale d’un ou plusieurs animaux ayant présenté au moins deux des signes suivants dans les jours précédents : Hyperthermie, essoufflement, difficultés respiratoires, toux, jetage, perte d’appétit,
Plusieurs animaux présentant au moins un des symptômes décrits précédemment
Inefficacité après un premier traitement ou passage à la chronicité";"Intérêt de traiter le lot entier, même si quelques animaux atteints dans le lot.
Si signes respiratoires: antibiotiques associés à des anti inflammatoires (AINS de préférence, mais éviter les traitements longs, car risque d’ulcères de la caillette)et/ou des fluidifiants.
Les antibiotiques peuvent être administrés par injection ou par voie orale (jeunes).
Phytothérapie et huiles essentielles par voie orale";"Isolement des animaux introduits et des animaux malades
Diagnostic d’ambiance des bâtiments en vue de l’amélioration de la ventilation.
Mise en place de la vaccination spécifique vis à vis des microbes isolés pour les périodes à risque (principalement automne et hiver).  Attention les anticorps colostraux des mères protègent très peu les veaux nouveaux nés et il convient de les vacciner le plus tôt possible (âge variable selon les vaccins).";"Fréquence importante
Traitements inefficaces et/ou mortalité"
COCCIDIOSE DES VEAUX;"Appartion vers l’âge d’un mois puis lors des transitions alimentaires (sevrage, mise à l’herbe, etc.)
Mauvais état général, poil piqué,
Diarrhée noire ou hémorragique avec effort.";"Appartion vers l’âge d’un mois puis lors des transitions alimentaires (sevrage, mise à l’herbe, etc.)
Mauvais état général, poil piqué,
Diarrhée noire ou hémorragique avec effort.";"Appartion vers l’âge d’un mois puis lors des transitions alimentaires (sevrage, mise à l’herbe, etc.)
Mauvais état général, poil piqué,
Diarrhée noire ou hémorragique avec effort.";"Apparition systématiques chaque année
Mortalité"
ARTHRITES DU VEAU;Boîterie, douleur d’une articulation, articulation gonflée, supppuration d’une articulation;"Antibiotiques par voie générale à forte dose et pendant au moins 8 à 10 jours : Tylosine, amoxicilline.
Anti-inflammatoires non stéroïdiens : flunixine, acide tolfénamique, kétoprofène
Baume à base d'huiles essentielles";"Prévention de l’omphalite (« gros nombril ») par désinfection du cordon ombilical à la naissance
Désinfection soignée lors de la pose des boucles.
Soin rapide des débuts d’arthrite";"Arthrite suppurée
Traitement sans succés"
STRONGYLOSES DIGESTIVES;"Diarrhée sans hyperthermie. Poils piqués.
Résultats d’analyses de sang et/ou de matières fécales.
La plupart du temps : absence de signes cliniques, importance de la prévention !";"Divers produits et voies d’administration (lévamisole, oxfendazole, fenbendazole, ivermectine, etc.)
A utiliser en curatif sir animaux avec signes";"Protocole à moduler selon chaque élevage et d’une année à l’autre :
1ère saison de paturage : benzimidazole un mois après la mise à l’herbe, traitement identique éventuellement au mois d’août et Ivermectine à la rentrée
2ème saison : Ivermectine ou benzimidazole à la rentrée selon coproscopie
3ème saison : benzimidazole à la rentrée selon coproscopie
Multipares : à voir selon état des vaches. Privilégier les traitements sélectifs";"Mortalité, mauvaise maîtrise du parasitisme
Mise en place d'un plan raisonnée de maîtrise du parasitisme"
MAMMITES CLINIQUES;"Modification du lait : caillots, lait décomposé, et toute autre modification du lait.
Gonflement du quartier qui peut etre chaud, douloureux, dur à la palpation
Atteinte de l’état général variable : Etat général normal ou hyperthermie et manque d’appétit et parfois atteinte grave : vache couchée (dans certains cas de mammites colibacillaires)
Si l’on observe une augmentation des cellules sans modification du lait, il s’agit d’une mammite sub-clinique.";"Mammites sans atteinte de l’état général :
Antibiotiques par voie intramammaire : Bétalactamines, gentamycine.

Mammites avec état général :
Idem + antibiotiques (tylosine, gentamycine, sulfamides/TMP) et antiinflammatoire non-stéroidiens par voie générale (flunixine).";"Contrôle de la machine à traire
Hygiène de la traite
Réforme des vaches infectées chroniques
Equilibre de la ration et hygiène du batiment";"Mammite suraigue avec forte atteinte de l’état général
Fréquence importante de mammites et/ou de vaches à taux cellulaires élevés (>400 000 cell.)"
METRITES;"Métrite aigue : apparait quelques heures ou quelques jours après le vélage
  => Forte fièvre, inappétence, mortalité possible
Métrite chronique : apparait quelques semaines après le vélage
  => Ecoulement blanchatre au niveau de la vulve
  => Parfois pas de d’écoulement et seulement de l’infertilité
  => Etat général normal, appétit conservé";"Métrite aigue : antibiotiques (amoxicilline, oxytétracycline,…) + antiinflammatoires non stéroidiens.
Métrite chronique : prostaglandine ou analogue + éventuellement antibiotiques in-utero.";"Equilibre de la ration et hygiène du batiment
Hygiène du vélage
Eventuellement, fouille systématique de toutes les vaches 3 semaines après le vélage pour évaluer l’involution utérine.";"Métrite aiguë avec forte atteinte de l’état général
Métrites chroniques fréquente ou infécondité (repeat-breeding, IA non fécondantes)"
NON-DELIVRANCES;"Vache non délivrée 24h après la mise bas, par vérification par fouille vaginale avec gants, après nettoyage de la vulve à la vétédine savon.
Confirmer l’absence de jumeau ou d’avorton par fouille vaginale
Vérifier la température rectale";"Couper ce qui dépasse
Administrer du Wombyl (ou Adhérolyse) ou du Chlorure de Magnésium 2 fois par jours pendant 3 jours.
Si température >39°C, antibiothérapie par voie générale (oxytétracycline)
Administrer une Prostaglandine 3 semaines après la mise bas.
Vérifier les ecoulements 1 mois après la mise bas.";"Alimentation équilibrée au tarissement.
Préparation et déroulement de la mise bas.
Importance des Oligo-éléments (chlorure de magnésium, vitamines AD3E, Se, Iode en fin de gestation, maitrise de l’équilibre Ca/P)";"
Température élevée + atteinte de l’état général
Plus de 10% de non-délivrances.
Si écoulement lie de vin nauséabond (cf métrites puerpérales)"
PANARIS;"Il est simple et se base sur l’examen du pied :
La vache boite !
Vérifier qu’il n’y a pas de lésion sous l’onglon, pas de cerise ou de corps étranger.
La patte gonfle au dessus et au dessous, est chaude, douloureuse à la pression, rouge, les onglons ont tendance à s’écarter.";"Il s’agit d’un traitement local : Nettoyage du pied à l’eau de javel diluée.
Bombe violette (oxytétracycline, violet de gentiane) à répéter 2 à 3 jours sur les lésions
Et d’un traitement générale antibiotique et anti-inflammatoire :
Tous les antibiotiques sont efficaces : utilisation d’un longue action en allaitant (oxytétracycline, tylosine)
Utilisation d'un antiinflammatoire non-stéroïdien pour limiter la douleur.";"A l’étable, éviter une humidité excessive de la litière. Utilisation du triphosphate de chaux au besoin.
En cas de risque permanent, mettre en place des pédiluves réguliers (eau de javel, sulfate de cuivre, formol).
La prévention est illusoire pour les animaux en estive…";Appeler en cas de complication, de non guérison suite au traitement ou de nombreux cas.
